,Mario Andretti
274,>Simon Cowell
275,>Brett Ratner
276,>Bidzina Ivanishvili
277,>Robert Kraft
278,>Deborah Tannen
279,>Lil Wayne
280,>Sam Ewing
281,>Guy Fieri
282,>Woodrow Wilson
283,>Mauricio Macri
284,>Steve Jobs
285,>Mindy Kaling
286,>John Burroughs
287,>Godfrey Winn
288,>Stendhal
289,>Julia Roberts
290,>Charles Kettering
291,>Simone de Beauvoir
292,>Tommy Lee
293,>Voltaire
294,>Saint Basil
295,>James Comey
296,>Zendaya
297,>Penn Jillette
298,>Kate Winslet
299,>Ethan Allen
300,>Marilyn vos Savant
301,>Euripides
302,>Jamie Oliver
303,>Louis C. K.
304,>Vivek Wadhwa
305,>Ralph Waldo Emerson
306,>Jane Austen
307,>Wendi Deng Murdoch
308,>Rita Rudner
309,>Michael Pollan
310,>David Duchovny
311,>Max Schmeling
312,>Dieter F. Uchtdorf
313,>Estelle
314,>Martin Lawrence
315,>Aldous Huxley
316,>Audrey Hepburn
317,>Jean Paul
318,>Lucas Grabeel
319,>Alexander Pope
320,>Virat Kohli
321,>Michelle Obama
322,>Tionne Watkins
323,>Giada De Laurentiis
324,>Henry Petroski
325,>Nelson Goodman
326,>Truman Capote
327,>Nicolas Roeg
328,">John Forbes Nash, Jr."
329,>Paula Deen
330,>J. Robert Oppenheimer
331,>Michael Korda
332,>Rainer Maria Rilke
333,>Young Jeezy
334,>Rakul Preet Singh
335,>Rabindranath Tagore
336,>George A. Romero
337,>Robert Baden-Powell
338,>Avril Lavigne
339,>Kate Christensen
340,>Arthur Rubinstein
341,>Galina Vishnevskaya
342,>Nassim Nicholas Taleb
343,>Margaret Cho
344,>Jean-Georges Vongerichten
345,>Zsa Zsa Gabor
346,>Anna Kendrick
347,>Michael Specter
348,>Benjamin Disraeli
349,>John Cusack
350,>Dhanush
351,>Ella Maillart
352,>Woody Allen
353,>John Wooden
354,>Johann Wolfgang von Goethe
355,>Sarah Kay
356,>David Cameron
357,>Philip Sidney
358,>Thomas Moore
359,>Kid Rock
360,>Kenneth Edmonds
361,>George Burns
362,">Philip Stanhope, 4th Earl of Chesterfield"
363,>Ameen Rihani
364,>Blake Lively
365,>Thomas Jefferson
366,>Julie Burchill
367,>Clayton Christensen
368,>Francois de La Rochefoucauld
369,>Michael Specter
370,>Rick Warren
371,>Henry Rollins
372,>Sheryl Sandberg
373,>Arnold Schwarzenegger
374,>George Michael
375,>Janet Yellen
376,>Randy West
377,>Jason Calacanis
378,>Barack Obama
379,>Lloyd Bentsen
