,Mario Andretti
1167,>Bertrand Russell
1168,>Ta-Nehisi Coates
1169,>David D. Burns
1170,>Henny Youngman
1171,>Shakira
1172,>Marge Piercy
1173,>Zsa Zsa Gabor
1174,>Tom Brady
1175,>Candice Swanepoel
1176,>bell hooks
1177,>Sophia Loren
1178,>Harold Ramis
1179,>Joseph Brodsky
1180,>Zac Goldsmith
1181,>Adam Levine
1182,>Arthur Schopenhauer
1183,>Martha Plimpton
1184,>Amanda Donohoe
1185,>Tom Colicchio
1186,>Alain de Botton
1187,>Benjamin Franklin
1188,>Walter Scott
1189,>Sting
1190,>Bill Cosby
1191,>Jim Elliot
1192,>David Mixner
1193,>Bill Bradley
1194,>Ryan Holiday
1195,>Joaquin Phoenix
1196,>Ambrose Bierce
1197,>Norman Cousins
1198,>Wanda Sykes
1199,>Ben Stein
1200,>Winston Churchill
1201,>Earl Wilson
1202,>Mary Lambert
1203,>P. J. O'Rourke
1204,>Michael J. Saylor
1205,>Jim Carrey
1206,>Carl Jung
1207,>Spike Jonze
1208,>George Canning
1209,>Triple H
1210,>Eric Ries
1211,>William Green
1212,>Olivier Theyskens
1213,>Joyce Meyer
1214,>Akshay Kumar
1215,>Kevin Conroy
1216,>Henry Ford
1217,>Will Rogers
1218,>Timothy Noah
1219,>Al Sharpton
1220,>Josh Billings
1221,>Oprah Winfrey
1222,>Nargis Fakhri
1223,>Jules Renard
1224,>Samuel Smiles
1225,>Stephen Hawking
1226,>Ron Perlman
1227,>Kristin Cavallari
1228,>Jim Rohn
1229,>Sydney Smith
1230,>David Hume
1231,>Robert Irvine
1232,>Paul Pierce
1233,>N. R. Narayana Murthy
1234,>Shah Rukh Khan
1235,>Anupam Kher
1236,>Dorothy Height
1237,>Bethenny Frankel
1238,>Pam Brown
1239,>Laurence J. Peter
1240,>Jim Hightower
1241,>Eleanor Robson Belmont
1242,>Leo Tolstoy
1243,>Erma Bombeck
1244,>Damon Wayans
1245,>Jeff Ross
1246,>Bono
1247,>Graham Greene
1248,>Recep Tayyip Erdogan
1249,>Alfred Marshall
1250,>Mark Burnett
1251,>Michael Pollan
1252,>Graham Greene
1253,>Andre Maurois
1254,>Steve Jurvetson
1255,>Helen Mirren
1256,>Robert Duvall
1257,>Jim Carrey
1258,>David Icke
1259,>Sally Schneider
1260,>Buddha
1261,>Lisa Morton
1262,>Bryce Dallas Howard
1263,>B. C. Forbes
1264,>Tony Dungy
1265,>Henri Frederic Amiel
1266,>Tony Bennett
1267,>Debbie Stabenow
1268,>Frederick W. Smith
1269,>David Icke
1270,>Cherie Lunghi
1271,>Joseph Campbell
1272,>James Whistler
1273,">H. Jackson Brown, Jr."
1274,>Bill Watterson
1275,>Frankie Valli
1276,>Vendela Kirsebom
1277,>Timothy Ferriss
1278,>Charles Spurgeon
1279,>John Cheever
1280,>Kimbal Musk
1281,>Henry Paulson
1282,>Steven Pinker
1283,>E. W. Howe
1284,>Adam Gopnik
1285,>John F. Kennedy
1286,>Charles Dickens
1287,>Will Smith
1288,">Harold Ford, Jr."
1289,>Vivek Wadhwa
1290,>Lady Gregory
1291,>Alison Gopnik
1292,>Arthur Miller
1293,>Bryan Batt
1294,>Khalil Gibran
1295,>Aristotle
1296,>Colin R. Davis
1297,>Douglas Adams
1298,>Alice Miller
1299,>Mike Barnicle
1300,>Karin Slaughter
1301,>Leonardo da Vinci
1302,>Benjamin Franklin
1303,>Martina Navratilova
1304,>Daphne Koller
1305,>Ben Shapiro
1306,>Victor Kiam
1307,>Lewis Howes
1308,>Tony McCoy
1309,>Rumi
1310,>Tim Roth
1311,>Groucho Marx
1312,>Henry Ford
1313,>Cary Grant
1314,>Kirk Douglas
1315,>Charles J. Givens
1316,>Hans Rosling
1317,>Jean Chatzky
1318,>Pawan Kalyan
1319,>Bernie Siegel
1320,>Elizabeth Berkley
1321,>James A. Baldwin
1322,>Ambrose Bierce
1323,>Paul Prudhomme
1324,>A. P. J. Abdul Kalam
1325,>James Howard Kunstler
1326,>James A. Michener
1327,>Emile Hirsch
1328,>Hugh Jackman
1329,>Jeff Bezos
1330,>Jean-Paul Sartre
1331,>Giacomo Casanova
1332,>Aaron Patzer
1333,>John C. Maxwell
1334,>Muhammad Ali
1335,>Maya Angelou
1336,>Herb Caen
1337,>Jesse Helms
1338,>Maya Angelou
1339,>Al Lopez
1340,>Jonathan Swift
1341,>Felix Adler
1342,>Sabrina Bryan
1343,>David Morrell
1344,>Cyrano de Bergerac
1345,>Sophia Loren
1346,>Martin O'Malley
1347,>Albert Schweitzer
1348,>Richard Branson
1349,>Jonathan Raban
1350,>Will Arnett
1351,>Sylvester Stallone
1352,>Monica Bellucci
1353,>Deepak Chopra
1354,>Francis Picabia
1355,>Judith Wright
1356,>Michael Cimino
1357,>Sarah Michelle Gellar
1358,>Hugh Grant
1359,>Bernard Baruch
1360,>Arsene Wenger
1361,>Suzanne Weyn
1362,>Allan Savory
1363,>H. L. Mencken
1364,>Caroline Knapp
1365,>Stevie Wonder
1366,>John F. Kennedy
1367,>Sarah Bernhardt
1368,>Johnny Carson
1369,>Dwight L. Moody
1370,>Dan Millman
1371,>Mother Teresa
1372,>Barbara Pym
1373,>Jean Kerr
1374,>Martha Beck
1375,>W. Clement Stone
1376,>L. Ron Hubbard
1377,>Rachael Ray
1378,>Jeremy Rifkin
1379,>Delia Smith
1380,>Ben Carson
1381,>Oscar Wilde
1382,>Darius Rucker
1383,>Mike White
1384,>Marilyn Ferguson
1385,>Joel Fuhrman
1386,>Shakira
1387,>Sheena Easton
1388,>Sidonie Gabrielle Colette
1389,>Diane von Furstenberg
1390,>Meek Mill
1391,>David Chang
1392,>Eric Schlosser
1393,>Jeroen Dijsselbloem
1394,>James Allen
1395,>Peter Jackson
1396,>Tennessee Williams
1397,>Karen DeCrow
1398,>Don Miguel Ruiz
1399,>George S. Patton
1400,>Robert Dallek
1401,>John Rampton
1402,>Robert E. Lee
1403,>Henry Petroski
1404,>Anthony Hopkins
1405,>Erin Gruwell
1406,>Ryan Holiday
1407,>Bill Frist
1408,>Cat Cora
1409,>Nobu Matsuhisa
1410,>Simon Sinek
1411,>Ron Lewis
1412,>Tim Cope
1413,>Reese Witherspoon
1414,>Will Self
1415,>Tim Tebow
1416,>David Chang
1417,>Manny Pacquiao
1418,>Euripides
1419,>Baltasar Gracian
1420,>William Hazlitt
1421,>Tim Howard
1422,>Anushka Sharma
1423,>John Lennon
1424,>Zig Ziglar
1425,>Alison Sweeney
1426,>Jerry Saltz
1427,>Robert E. Lee
1428,>Joel Osteen
1429,>Tom Brady
1430,>Fidel Castro
1431,>Sydney J. Harris
1432,>A. J. McLean
1433,>John Wooden
1434,>Ina Garten
1435,>John Wooden
1436,>Orison Swett Marden
1437,>George Washington
1438,>Johnny Cash
1439,>Debra Messing
1440,>Gisele Bundchen
1441,>Mariska Hargitay
1442,>Marcus Samuelsson
1443,>D. H. Lawrence
1444,>Carl Sandburg
1445,>Richard Branson
1446,>John le Carre
1447,>Bo Bennett
1448,>Joe Nichols
1449,>Robert Harris
1450,>Kapil Sibal
1451,>Kevin Smith
1452,>John Boehner
1453,>John W. Gardner
1454,>Robert Fulghum
1455,>Billie Jean King
1456,>Elisabeth Kubler-Ross
1457,>Roger von Oech
1458,>Randi Weingarten
1459,>Henning Mankell
1460,>Jack Layton
1461,>Henry David Thoreau
1462,>Ann Landers
1463,>Shiv Khera
1464,>Nate Silver
1465,>Naftali Bennett
1466,>Douglas William Jerrold
1467,>Stephen Hawking
1468,>Neale Donald Walsch
1469,>Dick Cavett
1470,>Charles Duhigg
1471,>Dhanush
1472,>Louis C. K.
1473,>William James
1474,>Thich Nhat Hanh
1475,>Babe Ruth
1476,>William J. Clinton
1477,>Martin Seligman
1478,>Paul Tillich
1479,>William Wordsworth
1480,>Bradley Whitford
1481,>Mencius
1482,>Tammy Wynette
1483,>Baruch Spinoza
1484,>Napoleon Hill
1485,>Stevie Wonder
1486,>Peter De Vries
1487,>Jonathan Safran Foer
1488,>Jo Cox
1489,>Aaron Spelling
1490,>Thomas Shadwell
1491,>Albert Schweitzer
1492,>Molly Ringwald
1493,>Hugh Ross
1494,>Jay-Z
1495,>Rachael Ray
1496,>Henry Wadsworth Longfellow
1497,>Franz Kafka
1498,>Selena Gomez
1499,>Knute Rockne
1500,>Jiddu Krishnamurti
1501,>Audrey Hepburn
1502,>Lauren Conrad
1503,>John Frusciante
1504,>Thomas Huxley
1505,">H. Jackson Brown, Jr."
1506,>Brooke Shields
1507,>Sharon Horgan
1508,>W. Clement Stone
1509,>Tom Cochrane
1510,>Sarah Orne Jewett
1511,>Pietro Aretino
1512,>Kanye West
1513,>Michael Jordan
1514,>Nick Harkaway
1515,>Danny Meyer
1516,>George Lucas
1517,>Louis Theroux
1518,>Jennifer Lopez
1519,>Oscar Wilde
1520,>Plato
1521,>Tony Fadell
1522,>Lord Byron
1523,>John Morton
1524,>Cynthia Weil
1525,>Helen Mirren
1526,>Benjamin Disraeli
1527,>Barbara De Angelis
1528,>Robert Kiyosaki
1529,>Lloyd Dorfman
1530,>Martin Rees
1531,>Lady Gaga
1532,>Gerald Brenan
1533,>Sade Adu
1534,>C. S. Lewis
1535,>John Henry Newman
1536,>Mae West
1537,>Caroline Kennedy
1538,>Petrarch
1539,>Kate Winslet
1540,>Katy Perry
1541,>Ruth Bader Ginsburg
1542,>Thomas McGuane
1543,>Gore Vidal
1544,>Sai Baba
1545,>Taraji P. Henson
1546,>Gene Robinson
1547,>Lord Byron
1548,>Caitlyn Jenner
1549,>Joyce Meyer
1550,>Mitt Romney
1551,>John Quelch
1552,>Ann Voskamp
1553,>Blake Shelton
1554,>Apollonius of Tyana
1555,>Calvin Trillin
1556,>Leonardo DiCaprio
1557,>Emma Bunton
1558,>Og Mandino
1559,>Dee Dee Myers
1560,>Hilaire Belloc
1561,>M. Scott Peck
1562,>Graham Elliot
1563,>Al Franken
1564,>Sebastian Faulks
1565,>Jeremy Irons
1566,>Suzanne Somers
1567,>Bill Gates
1568,>Cynthia P. Schneider
1569,>Keith Henson
1570,>Albert Barnes
1571,>Jesus Christ
1572,>Samuel Lover
1573,>Ausonius
1574,>Karrie Webb
1575,>Charles Stanley
1576,>Thomas Fuller
1577,>Tracey Gold
1578,>Margaret Thatcher
1579,>Rumi
1580,>Francois de La Rochefoucauld
1581,>George S. Patton
1582,>Nelson Mandela
1583,>Francois Rabelais
1584,>Stephanie Tubbs Jones
1585,>Albert Schweitzer
1586,>Marsha Blackburn
1587,>Jared Kushner
1588,>Alice Walker
1589,>Andrew Motion
1590,>Christian Nestell Bovee
1591,">H. Jackson Brown, Jr."
1592,>Jean Cocteau
1593,>Steve Vai
1594,>Emile Zola
1595,>Cory Booker
1596,>Justin Chatwin
1597,>Tom Kite
1598,>Charlotte Whitton
1599,>Jamie Foxx
1600,>Mike Huckabee
1601,>Dennis Rodman
1602,>Caroline Kennedy
1603,>Daley Thompson
1604,>Tom Petty
1605,>Orison Swett Marden
1606,>Doug Ducey
1607,>Colonel Sanders
1608,>Will Durant
1609,>Wendell Pierce
1610,>John Wooden
1611,>Carlene Carter
1612,>Gloria Steinem
1613,>Swami Sivananda
1614,>Gary Allan
1615,>Lindsey Vonn
1616,>Justin Trudeau
1617,>Vivek Wadhwa
1618,>Phillip Phillips
1619,>Henry Ford
1620,>Sophia Bush
1621,>Geri Halliwell
1622,>Jack Nicholson
1623,>Ezra Taft Benson
1624,>Jack London
1625,>Kirk Douglas
1626,>Andrea Bocelli
1627,>Cynthia Breazeal
1628,>Barack Obama
1629,>Millicent Fawcett
1630,>Abraham Maslow
1631,>Ogden Nash
1632,>William Allen White
1633,>Natalie Massenet
1634,>Michael Symon
1635,>Patty Berg
1636,>Joseph Roux
1637,>Liv Tyler
1638,>Charles R. Swindoll
1639,>Marilyn Ferguson
1640,>Dick Cavett
1641,>Alain Ducasse
1642,>Edmund Hillary
1643,>Burt Reynolds
1644,>Darlene Love
1645,>Leo Buscaglia
1646,>Beth Ditto
1647,>Friedrich Nietzsche
1648,>Suki Waterhouse
1649,>Ray Kurzweil
1650,>Javan
1651,>Earl Nightingale
1652,>Wolfgang Amadeus Mozart
1653,>Yogi Berra
1654,>Susan B. Anthony
1655,>Tom Cotton
1656,>George Sand
1657,>Cyril Connolly
1658,>Malaika Arora Khan
1659,>Julia Child
1660,>Phyllis Theroux
1661,>Harry Emerson Fosdick
1662,>John Piper
1663,>Socrates
1664,>Tori Amos
1665,>Carole King
1666,>Maria Bello
1667,>Chuck Noll
1668,>Lauren Bacall
1669,>Ian Mckellen
1670,>Brittany Snow
1671,>Dutch Ruppersberger
1672,>Ludwig van Beethoven
1673,>John Milius
1674,>Fred Thompson
1675,>Samuel Johnson
1676,>Sheri L. Dew
1677,>Ray Kroc
1678,>Kimbal Musk
1679,>David Bautista
1680,>Pawan Kalyan
1681,>W. E. B. Du Bois
1682,>Whoopi Goldberg
1683,>Dylan Moran
1684,>Steve Martin
1685,>Honore de Balzac
1686,>May Sarton
1687,>Gregory Bateson
1688,>Natalie Massenet
1689,>George Gershwin
1690,>William Hazlitt
1691,>Bessie Anderson Stanley
1692,>Wilma Rudolph
1693,>Josh Billings
1694,>Dale Dauten
1695,>Arthur Rubinstein
1696,>Mary Baker Eddy
1697,>Michael Douglas
1698,>Sam Hunt
1699,>Leonard Mlodinow
1700,>Charles de Lint
1701,>Jerry Hall
1702,>Dee Hock
1703,>Charles Duhigg
1704,>Thomas Aquinas
1705,>Nancy Gibbs
1706,>Kayla Tausche
1707,>Naveen Jain
1708,>Marco Rubio
1709,>John Mayall
1710,>Shirley Jones
1711,>Og Mandino
1712,>Julie Klausner
1713,>Mother Angelica
1714,>Elbert Hubbard
1715,>Bernie Siegel
1716,>Larry David
1717,>Hugh Jackman
1718,>Henry Ward Beecher
1719,>Sam Walton
1720,>Rumi
1721,>Hannah Simone
1722,>Jennifer Lawrence
1723,>Cyril Connolly
1724,>Willa Cather
1725,>Yotam Ottolenghi
1726,>Sarah McLachlan
1727,>Jesse Tyler Ferguson
1728,>Hu Jintao
1729,>H. L. Mencken
1730,>Leo Buscaglia
1731,>Gabriel Garcia Marquez
1732,>Ray Kroc
1733,>Moliere
1734,>Bob Marley
1735,>Caroline Knapp
1736,>Mark Twain
1737,>Anthony J. D'Angelo
1738,>Bernard Baruch
1739,>Leo Tolstoy
1740,>Rakul Preet Singh
1741,>Drew Barrymore
1742,>Abraham Maslow
1743,>Robert J. Shiller
1744,>Stefon Harris
1745,>Sophie Kinsella
1746,>Louisa May Alcott
1747,>Anatole France
1748,>Thomas J. Watson
1749,>Brie Larson
1750,>Abhishek Bachchan
1751,>Sandra Bullock
1752,>Toby Young
1753,>Audrey Hepburn
1754,>Michael Korda
1755,>Troy Polamalu
1756,>Steve Blank
1757,>Martin O'Malley
1758,>Anna Neagle
1759,>Danica Patrick
1760,>T. Boone Pickens
1761,>Mother Teresa
1762,>Honore de Balzac
1763,>Claire Danes
1764,>Laura Ingalls Wilder
1765,>Paula Cole
1766,>Phillips Brooks
1767,>James E. Faust
1768,>Joan of Arc
1769,>George Herbert
1770,>Conor McGregor
1771,>Friedrich Nietzsche
1772,>Edmund White
1773,>Oscar Hammerstein II
1774,>Hassanal Bolkiah
1775,>Rick Perlstein
1776,>T.I.
1777,>Bill Cosby
1778,>Anna Benson
1779,>Terry Pratchett
1780,>Klaus Schwab
1781,>Clint Eastwood
1782,>Eustace Budgell
1783,>Ruth Reichl
1784,>Calvin Trillin
1785,>Becky G
1786,>Honore de Balzac
1787,>Michael Stipe
1788,>Don Johnson
1789,>Aaron Sorkin
1790,>Eckhart Tolle
1791,>Maya Angelou
1792,>Johnny Weir
1793,>Jerry West
1794,>Valerie Bertinelli
1795,>Lakshmi Mittal
1796,>Publilius Syrus
1797,>Friedrich Schiller
1798,>Ben Shapiro
1799,>Carl von Clausewitz
1800,>Sidney Hook
1801,>Enda Kenny
1802,>Linda Fiorentino
1803,>Charlie Hunnam
1804,>Randy Bachman
1805,>Saint Bernard
1806,>William Blake
1807,>Tena Desae
1808,>Sophia Loren
1809,>Ernest Hemingway
1810,>Bertrand Russell
1811,>Sean Lennon
1812,>Lilly Singh
1813,>David Duchovny
1814,>Tom Bodett
1815,>Nick Cannon
1816,>Oscar Wilde
1817,>Jim Rohn
1818,>Zbigniew Brzezinski
1819,>Zig Ziglar
1820,>Khalil Gibran
1821,>Jane Austen
1822,>George Foreman
1823,>Rick Astley
1824,>Debbie Reynolds
1825,>George Takei
1826,>Do Won Chang
1827,>Friedrich Nietzsche
1828,>Pat Buchanan
1829,>Pearl S. Buck
1830,>Michelle Bachelet
1831,>Henry Van Dyke
1832,>William Christopher Handy
1833,>Ashton Kutcher
1834,">Odell Beckham, Jr."
1835,>Alec Baldwin
1836,>Plato
1837,>Sydney J. Harris
1838,>Henri Nouwen
1839,>Swami Sivananda
1840,>Henry Ford
1841,>Elie Wiesel
1842,>Lupita Nyong'o
1843,>Napoleon Hill
1844,>Albert Einstein
1845,>Ken Kesey
1846,>Berthe Morisot
1847,>Brooks Adams
1848,>Isaac Asimov
1849,>Barack Obama
1850,>Charles Caleb Colton
1851,>Randeep Hooda
1852,>Elizabeth Bibesco
1853,>Satya Nadella
1854,>Ben Bernanke
1855,>B. R. Ambedkar
1856,>Mary Kay Ash
1857,>Young Jeezy
1858,>Andrew Sullivan
1859,>Denis Waitley
1860,>Jonathan Swift
1861,>Scott Weiss
1862,>Alton Brown
1863,>William Eardley IV
1864,>Alain de Botton
1865,>Harvey Fierstein
1866,>Angela Merkel
1867,>Amos Bronson Alcott
1868,>Confucius
1869,>W. C. Fields
1870,>Thomas J. Watson
1871,>Thomas Jefferson
1872,>Pablo Picasso
1873,>Mother Teresa
1874,>Julian Castro
1875,>Joel Madden
1876,>Chanakya
1877,>John Ortberg
1878,>Richard Dawkins
1879,>Brigham Young
1880,>Joey Adams
1881,>Natalie Cole
1882,>Billy Crystal
1883,>Karl A. Menninger
1884,>Maria Mitchell
1885,>Robert Baden-Powell
1886,>Pierre Teilhard de Chardin
1887,>Barry White
1888,>Tom Holland
1889,>Selena Gomez
1890,>Gilbert Parker
1891,>Jean Paul
1892,>Mark Cuban
1893,>Rumi
1894,>Michael J. Fox
1895,>Robin Williams
1896,>Michael Mosley
1897,>Mother Teresa
1898,>Pico Iyer
1899,>Padma Lakshmi
1900,>Leo Buscaglia
1901,>Natalie Portman
1902,>Andrew Weil
1903,>Jakob Bohme
1904,>Bee Wilson
1905,>Benjamin Franklin
1906,>Susan Choi
1907,>Henry Ward Beecher
1908,>Zoe Foster Blake
1909,>William Cowper
1910,>Randy Forbes
1911,>Nathan Myhrvold
1912,>Gary Johnson
1913,>Walt Whitman
1914,>Tobias Smollett
1915,>Henry Wadsworth Longfellow
1916,>Sean Duffy
1917,>Samuel Smiles
1918,>Samuel Smiles
1919,>Martin Scorsese
1920,>Liu Xiaobo
1921,>Albert Einstein
1922,>Michael Pollan
1923,>Cindy Sheehan
1924,>Dan Gilbert
1925,>Malcolm Mclaren
1926,>Phil Donahue
1927,>Paul Craig Roberts
1928,>Arnold Palmer
1929,>Lactantius
1930,>Michele Bachmann
1931,>Tina Turner
1932,>Kurt Cobain
1933,>Jean Rostand
1934,>Brenda Song
1935,>Benjamin Disraeli
1936,>Beyonce Knowles
1937,>Bill Medley
1938,>Anne Morrow Lindbergh
1939,>J. Paul Getty
1940,>William Blake
1941,>Michael Foreman
1942,>Henry Cloud
1943,>N. R. Narayana Murthy
1944,>Michael Gove
1945,>John Donne
1946,>Caleb Johnson
1947,>Honore de Balzac
1948,>Boris Pasternak
1949,>Iyanla Vanzant
1950,>Kirsten Sweetland
1951,>William Lyon Phelps
1952,>Austin O'Malley
1953,>Ralph Waldo Emerson
1954,>James Newman
1955,>Tim Harford
1956,>Jim Carrey
1957,>Edwin Markham
1958,>Neil Gaiman
1959,>Lao Tzu
1960,>David Wilkerson
1961,>KSI
1962,>Doris Lessing
1963,>Brooke Shields
1964,>Mehmet Oz
1965,>Kevin O'Leary
1966,>Langston Hughes
1967,>Lal Bahadur Shastri
1968,>Oscar Wilde
1969,>Jim Rohn
1970,>Rob Thomas
1971,>Thomas J. Watson
1972,>Robert Kiyosaki
1973,>Conor Oberst
1974,>Oprah Winfrey
1975,>Bernie Siegel
1976,>Xi Jinping
1977,>Abigail Spencer
1978,>Bindi Irwin
1979,>Angela Davis
1980,>Bryce Dallas Howard
1981,>Rick Perry
1982,>Katarina Johnson-Thompson
1983,>Zane Grey
1984,>Jeb Bush
1985,>Plato
1986,>Doug Larson
1987,>Jennifer Lopez
1988,>Billy Graham
1989,>Jeremy Sisto
1990,>James Allen
1991,>Mario Batali
1992,>Drake
1993,>Andre Maurois
1994,>Sandra Lee
1995,>Carl Hagelin
1996,>Mark Caine
1997,>Ashley Madekwe
1998,>Al Lopez
1999,>Angelina Jolie
2000,>Dale Turner
2001,>Mike Ditka
2002,>Greg Bear
2003,>Satya Nadella
2004,>William Howard Taft
2005,>Bradley Chicho
2006,>Jeffrey Gitomer
2007,>Eliza Dushku
2008,>E. O. Wilson
2009,>Goldie Hawn
2010,>Confucius
2011,>Thomas A. Edison
2012,>Euripides
2013,>Michael Pollan
2014,>Hill Harper
2015,>Sue Townsend
2016,>Shemar Moore
2017,>Jeff Bridges
2018,>Michael Korda
2019,>Mel Gibson
2020,>Jeffrey Kluger
2021,>Brigitte Bardot
2022,>Sloane Crosley
2023,>Georg C. Lichtenberg
2024,>Ralph Waldo Emerson
2025,>Jennifer Aniston
2026,>Shmuel Yosef Agnon
2027,>Aeschylus
2028,>Henry Rollins
2029,>Pele
2030,>Jean Cocteau
2031,>Hermann Hesse
2032,>Kat Graham
2033,>Dr. Seuss
2034,>Myles Munroe
2035,>Robert Hall
2036,>Charles Caleb Colton
2037,>Vince Lombardi
2038,>Marcus Tullius Cicero
2039,>Elbert Hubbard
2040,>John W. Gardner
2041,>Laurence D. Fink
2042,>Steve Carell
2043,>Anne Campbell
2044,>Jim Rohn
2045,>Dwight D. Eisenhower
2046,>Maria Montessori
2047,>Arnold H. Glasow
2048,>Paul Craig Roberts
2049,>Dwayne Johnson
2050,>Sophia Loren
2051,>T. Boone Pickens
2052,>Angelina Jolie
2053,>Hart Crane
2054,>Munshi Premchand
2055,>Henry Rollins
2056,>Marcus Tullius Cicero
2057,>Elbert Hubbard
2058,>Alain Ducasse
2059,>Neil Patrick Harris
2060,>Henry Petroski
2061,>Lindsey Buckingham
2062,>Lee Atwater
2063,>Lord Byron
2064,>Marcelene Cox
2065,>Richard P. Feynman
2066,>Og Mandino
2067,">Oliver Wendell Holmes, Sr."
2068,>Anthony Hopkins
2069,>Suzanne Somers
2070,>Kenny Loggins
2071,>Mary Berry
2072,>Napoleon Bonaparte
2073,>Peter Diamandis
2074,>Joe Bastianich
2075,>Jonathan Ive
2076,>Billy Graham
2077,>Ali Larter
2078,>H. Rap Brown
2079,>Alan Greenspan
2080,>George Bernard Shaw
2081,>Michelle Obama
2082,>Sofia Milos
2083,>Jamie Oliver
2084,>Jeff Lemire
2085,>St. Jerome
2086,>Paul Bryant
2087,>Richard Bach
2088,>Isaac Watts
2089,>Louise Fresco
2090,>Andie MacDowell
2091,>William Hazlitt
2092,>Malcolm X
2093,>Ryan Holiday
2094,>Gilbert Parker
2095,>Justin Zackham
2096,>Marcia Gay Harden
2097,>Roger Federer
2098,>Anna Quindlen
2099,>Seth Shostak
2100,>Isaac Asimov
2101,>John James Audubon
2102,>Anna Pavlova
2103,>Heidi Roizen
2104,>Lydia Millet
2105,>Peter Abelard
2106,>Ernest Hemingway
2107,>The Weeknd
2108,>John McEnroe
2109,>Karl Wilhelm Friedrich Schlegel
2110,>Benjamin Disraeli
2111,>Henry Ward Beecher
2112,>Ziggy Marley
2113,>Peter Conrad
2114,">Harry Connick, Jr."
2115,>Paulo Coelho
2116,>Ruth Glick
2117,>Ray Bradbury
2118,>A. J. Liebling
2119,>Lionel Messi
2120,>Whit Stillman
2121,>Joyce Meyer
2122,>George Edward Woodberry
2123,>W. Clement Stone
2124,>Daniel Defoe
2125,>Jamie Oliver
2126,>Marina Abramovic
2127,>Henry David Thoreau
2128,>Rochelle Aytes
2129,>Khalil Gibran
2130,>Matt Cameron
2131,>John C. Calhoun
2132,>Dick Van Dyke
2133,>Bob Hoskins
2134,>Tony DiTerlizzi
2135,>Christopher Dodd
2136,>Joseph Roux
2137,>Edward G. Bulwer-Lytton
2138,>Dean Koontz
2139,>Morgan Fairchild
2140,>Marine Le Pen
2141,>Stephen Covey
2142,>Morgan Freeman
2143,>Jon Favreau
2144,>Elizabeth Kapu'uwailani Lindsey
2145,>David Sarnoff
2146,>George Jean Nathan
2147,>Jodie Foster
2148,>Napoleon Hill
2149,>Douglas Rushkoff
2150,>Ernest Holmes
2151,>Ciara
2152,>Justin Welby
2153,>Joel Osteen
2154,>Luke Macfarlane
2155,>Hillary Clinton
2156,>Octavia Spencer
2157,>Alex Berenson
2158,>Olympia Snowe
2159,>Rachel Nichols
2160,>Zach Anner
2161,>Jillian Rose Banks
2162,>Noureen DeWulf
2163,>Epicurus
2164,>Rachael Ray
2165,>George Whitefield
2166,>George Eliot
2167,>Michio Kaku
2168,>Donald Knuth
2169,>Mortimer Adler
2170,>Sylvia Browne
2171,>Emma Watson
2172,>Bill Berry
2173,>William Feather
2174,>Anupam Kher
2175,>Rand Paul
2176,>Cynthia Kenyon
2177,>Mark Twain
2178,>Julia Child
2179,>T. Harv Eker
2180,>Mahatma Gandhi
2181,>Steve Jobs
2182,>Nargis Fakhri
2183,>Albert Einstein
2184,>Brian O'Driscoll
2185,>Dale Carnegie
2186,>Brie Larson
2187,>Stephen Gardiner
2188,>Theophile Gautier
2189,>Ted Turner
2190,>Marilu Henner
2191,>Charles Lindbergh
2192,>Jimmy Carter
2193,>Keegan Allen
2194,>Tammy Wynette
2195,>Henry Van Dyke
2196,>Evan Davis
2197,>Bryan Batt
2198,>Jonathan Haidt
2199,>David Dinkins
2200,>Felix Dennis
2201,>Martha Stewart
2202,>Conor Oberst
2203,>Havelock Ellis
2204,>Elizabeth Warren
2205,>Pierre Dukan
2206,>Mark Skousen
2207,>Jonathan Kozol
2208,>Francois de La Rochefoucauld
2209,>Annie Lennox
2210,>Marilyn Monroe
2211,>Samuel Smiles
2212,>Mireille Guiliano
2213,>Sasha Cohen
2214,>Suze Orman
2215,>Gates McFadden
2216,>Benjamin Franklin
2217,>Boy George
2218,>Sam Hunt
2219,>Unknown
2220,>Marcus Tullius Cicero
2221,>Neil Patrick Harris
2222,>Mao Zedong
2223,>Gordon Brown
2224,>Rainer Maria Rilke
2225,>Andrew Ross Sorkin
2226,>Alec Baldwin
2227,>Seth Shostak
2228,>Gerard Way
2229,>Jean de La Fontaine
2230,>Nicholas Negroponte
2231,>Daniel H. Pink
2232,>Shailene Woodley
2233,>Queen Rania of Jordan
2234,>Nate Silver
2235,>Missy Elliott
2236,>David Byrne
2237,>Michael Eric Dyson
2238,>Stephen Colbert
2239,>Esperanza Spalding
2240,>Denis Waitley
2241,>Grace Gealey
2242,>Honore de Balzac
2243,>Robert Louis Stevenson
2244,>Jessye Norman
2245,>Robert Fripp
2246,>Reese Witherspoon
2247,>Oscar Wilde
2248,>Paul Johnson
2249,>Cindy Morgan
2250,>Kaui Hart Hemmings
2251,>Peter Marshall
2252,>Leo Tolstoy
2253,>Raquel Welch
2254,>Bill Gates
2255,>Alice Paul
2256,>Humphrey Carpenter
2257,>Helen Rowland
2258,>Eleanor Roosevelt
2259,>Henry Ward Beecher
2260,>Plautus
2261,>Erma Bombeck
2262,>George Jessel
2263,>Socrates
2264,>Fran Lebowitz
2265,>Simon Sinek
2266,>Avigdor Lieberman
2267,>Lao Tzu
